,0
0,startseq  child in pink dress is climbing up set of stairs in an entry way endseq
1,startseq  black dog and spotted dog are fighting endseq
2,startseq  little girl covered in paint sits in front of painted rainbow with her hands in bowl endseq
3,startseq  man lays on bench while his dog sits by him endseq
4,startseq  man in an orange hat starring at something endseq
5,startseq  child playing on rope net endseq
6,startseq  black and white dog is running in grassy garden surrounded by white fence endseq
7,startseq  dog shakes its head near the shore red ball next to it endseq
8,startseq  boy smiles in front of stony wall in city endseq
9,startseq  black dog leaps over log endseq
10,startseq  brown and white dog is running through the snow endseq
11,startseq  man in hat is displaying pictures next to skier in blue hat endseq
12,startseq  collage of one person climbing cliff endseq
13,startseq  brown dog chases the water from sprinkler on lawn endseq
14,startseq  dog prepares to catch thrown object in field with nearby cars endseq
15,startseq  black and white dog jumping in the air to get toy endseq
16,startseq  child and woman are at waters edge in big city endseq
17,startseq  couple and an infant being held by the male sitting next to pond with near by stroller endseq
18,startseq  black dog running in the surf endseq
19,startseq  man drilling hole in the ice endseq
20,startseq  two different breeds of brown and white dogs play on the beach endseq
21,startseq  man uses ice picks and crampons to scale ice endseq
22,startseq  black dog carries green toy in his mouth as he walks through the grass endseq
23,startseq  man and baby are in yellow kayak on water endseq
24,startseq  black dog and brown dog are jumping up to catch red toy endseq
25,startseq  boy with stick kneeling in front of goalie net endseq
26,startseq  man in black is sitting next to modern art structure in front of glass building endseq
27,startseq  tent is being set up on the ice endseq
28,startseq  woman crouches near three dogs in field endseq
29,startseq  man is standing in front of skyscraper endseq
30,startseq  boy bites hard into treat while he sits outside endseq
31,startseq  people sit on the mountainside and check out the view endseq
32,startseq  boy in green shirt is looking down at many inflatable boats endseq
33,startseq  man and woman pose for the camera while another man looks on endseq
34,startseq  person eats takeout while watching small television endseq
35,startseq  couple of several people sitting on ledge overlooking the beach endseq
36,startseq  boy takes jump on his skateboard while another boy with skateboard watches endseq
37,startseq  girl paddling down large river as seen from behind her endseq
38,startseq  girl in pigtails splashes in the shallow water endseq
39,startseq  group of four children wearing pajamas have pillow fight endseq
40,startseq  two constructions workers sit on beam taking break endseq
41,startseq  the children are playing in the water endseq
42,startseq  blond woman in blue shirt appears to wait for ride endseq
43,startseq  little girl looking at brochure on train rides endseq
44,startseq  brown dog is running after black dog on rocky shore endseq
45,startseq  boy descends off the end of high diving board endseq
46,startseq  guy stands by window taking his overshirt off endseq
47,startseq  lightcolored dog runs on the beach endseq
48,startseq  boy in his blue swim shorts at the beach endseq
49,startseq  hiker standing high on bluff overlooking the mountains below endseq
50,startseq  black and white dog is attempting to catch yellow and purple object in low cut yard endseq
51,startseq  man in blue shorts is laying in the street endseq
52,startseq  white and black dog and brown dog in sandy terrain endseq
53,startseq  black and white dog catches toy in midair endseq
54,startseq  crowd watching air balloons at night endseq
55,startseq  child with helmet on his head rides bike endseq
56,startseq  group of eight people are gathered around table at night endseq
57,startseq  man in brown shirt and dark shorts plays on the beach with his two black dogs endseq
58,startseq  boy cleans the bubbles off his face endseq
59,startseq  boy in blue shorts slides down slide into pool endseq
60,startseq  man in wetsuit is throwing baby wearing wetsuit up into the air endseq
61,startseq  little boy sticks his tongue out for the camera another boy looks on endseq
62,startseq  blonde horse and blonde girl in black sweatshirt are staring at fire in barrel endseq
63,startseq  bulldog sheep dog and boxer standing in yard endseq
64,startseq  lady and man with no shirt sit on dock endseq
65,startseq  closeup of white dog that is laying its head on its paws endseq
66,startseq  woman in yellow shirt and green shorts is climbing an artificial red wall whilst wearing safety harness endseq
67,startseq  boy is jumping on an inflatable ring and girl is watching him endseq
68,startseq  family playing on tractor on beautiful day endseq
69,startseq  woman in red costume to the left of man and woman standing together endseq
70,startseq  skiiers walking up the hill through forest endseq
71,startseq  lone skier is making their way up mountain endseq
72,startseq  brown dog running down paved pathway endseq
73,startseq  mother and children is fishing on boardwalk at night endseq
74,startseq  woman dressed in blue jacket and blue jeans rides brown horse near frozen lake and snowcovered mountain endseq
75,startseq  two draft horses pull cart through the snow endseq
76,startseq  person climbing down sheer rock cliff using rope endseq
77,startseq  people stand inside rock dome endseq
78,startseq  group of backpackers lay on the dry ground endseq
79,startseq  woman in blue dress stands with chalk portrait of two children playing by stream endseq
80,startseq  brown dog plays in deep pile of snow endseq
81,startseq  boy jumping in fountain endseq
82,startseq  corgi runs out of tunnel endseq
83,startseq  blond dog and black and white dog run in dirt field endseq
84,startseq  little girl in blue swimsuit is walking along wooden fence next to sandy beach endseq
85,startseq  black and white dog drinking water from water spray endseq
86,startseq  boy smiles underwater endseq
87,startseq  boy with toy gun endseq
88,startseq  boy in yellow shorts is standing on top of cliff endseq
89,startseq  person on snowmobile in mid jump endseq
90,startseq  people are riding around on snowmobiles endseq
91,startseq  three people drive atvs endseq
92,startseq  four wheeler jumping in an empty field endseq
93,startseq  man jumps gin the air while riding an atv endseq
94,startseq  boy in striped shirt is jumping in front of water fountain endseq
95,startseq  boy carrying soccer ball endseq
96,startseq  child painting picture endseq
97,startseq  cyclist is riding bicycle on curved road up hill endseq
98,startseq  black dog jumping to catch rope toy endseq
99,startseq  little girl is holding cine camera in front of her face endseq
100,startseq  black and white border collie catches frisbee in front of an audience endseq
101,startseq  baby is sitting on and playing with smooth rocks endseq
102,startseq  kid rock climbing against the backdrop of green valley endseq
103,startseq  man climbing rock wall endseq
104,startseq  climber wearing blue helmet and headlamp is attached to rope on the rock face endseq
105,startseq  child playing with fountain at the beach endseq
106,startseq  black dog is jumping over log along beach endseq
107,startseq  black and white bird eating seeds out of someone hand endseq
108,startseq  brown dog is running in the sand endseq
109,startseq  little boy stands in the surf endseq
110,startseq  little tan dog with large ears running through the grass endseq
111,startseq  black and white dog is running through the field endseq
112,startseq  girl in pink swimsuit in pool endseq
113,startseq  child is standing on her head endseq
114,startseq  guy stands in the sand with snowboard behind him endseq
115,startseq  people on atvs and dirt bikes are traveling along worn path in field surrounded by trees endseq
116,startseq  baby in white garment holds flag with crescent moon and star endseq
117,startseq  half naked man is sleeping on his chair outdoors endseq
118,startseq  brown and white and black and white dog hauling in floating toy from the ocean endseq
119,startseq  there are three young people one dark haired holding bottled drink one with head tilted back and finger in her mouth and one with spiked hair endseq
120,startseq  brown dog is running through neckdeep water carrying tennis ball endseq
121,startseq  two brown dogs are creating large splashes as they run in river endseq
122,startseq  black dog runs into the ocean next to pile of seaweed endseq
123,startseq  young boy runs while wearing sandals endseq
124,startseq  brown and white dog stands outside while it snows endseq
125,startseq  two men are sitting on the ground and going through their backpacks endseq
126,startseq  boy is jumping on bed endseq
127,startseq  child leaping from bed to bed behind the back of man endseq
128,startseq  snowboarder sits on slope with skiers and boarders nearby endseq
129,startseq  girl in green walks down city street endseq
130,startseq  boy dressed in soccer attire and holding his shoes getting out of car endseq
131,startseq  bridge through high green plants man and woman on it endseq
132,startseq  family gathered at painted van endseq
133,startseq  blond woman poses with person in pink costume endseq
134,startseq  bicyclist riding on city street endseq
135,startseq  bicycle rider is crossing street endseq
136,startseq  lady wearing helmet holding bike endseq
137,startseq  man in shorts is jogging along street with headset endseq
138,startseq  bicyclists are standing at an intersection endseq
139,startseq  man without shirt on is guiding large brown horse pulling green and yellow wagon endseq
140,startseq  boy hits ball off of tee ball into to net endseq
141,startseq  small girl spins in the waves in the bright sun endseq
142,startseq  girl playing trumpet in marching band endseq
143,startseq  girl hands out starbucks samples at street fair endseq
144,startseq  three men are setting up sledge on snowy plain endseq
145,startseq  child jumping into lake in wooded area while another child plays on the shore endseq
146,startseq  elderly man in straw hat is sitting on bench endseq
147,startseq  three girls are walking across bridge covered with wood and surrounded by trees endseq
148,startseq  girl dressed in red top red cap and light colored shorts sits on rock outside endseq
149,startseq  man eats near tent in the snow endseq
150,startseq  grey dog beside black and white dog running in green grass endseq
151,startseq  man in red shirt and glasses is bending down towards small dog on blanket with several stuffed animals endseq
152,startseq  guy with nose piercing endseq
153,startseq  man in yellow grimaces endseq
154,startseq  man is standing by group of video games in bar endseq
155,startseq  big brown dog plays with smaller grey dog on the grass endseq
156,startseq  girl in blue is jumping on the shore as small waves approach her endseq
157,startseq  crowd of people walk down busy sidewalk endseq
158,startseq  big dog catches ball on his nose endseq
159,startseq  two blonde boys one in camouflage shirt and the other in blue are having water fight endseq
160,startseq  brown dog jumping into pool after bloe ball endseq
161,startseq  parents are pushing little children in red car carts endseq
162,startseq  boys baseball team wear their uniforms endseq
163,startseq  brown dog running through the grass and flowers endseq
164,startseq  small brown and black dog endseq
165,startseq  big tan dog runs on grass with big stick in his mouth endseq
166,startseq  dog jumping into swimming pool endseq
167,startseq  little old lady sitting next to an advertisement endseq
168,startseq  girl rides unicycle as another rides scooter next to her endseq
169,startseq  man in brown shirt sitting on dock and reading endseq
170,startseq  person sits at table behind tree endseq
171,startseq  couple walking along on sidewalk endseq
172,startseq  boy lays on picnic table bench endseq
173,startseq  dogs fight in grass over toy endseq
174,startseq  boy and person suspended above dome structure endseq
175,startseq  girl in brown dress surrounded by children closes her eyes endseq
176,startseq  man in black jacket is taking photo of man in red jacket endseq
177,startseq  family sits on bench near beach endseq
178,startseq  group of climbers begin up sheer rock face endseq
179,startseq  two men cleaning the outside windows of yacht endseq
180,startseq  two children are laughing in the grass endseq
181,startseq  boy in red and white shirt is on swing endseq
182,startseq  boy eats with spoon endseq
183,startseq  girl walking alone at night on street endseq
184,startseq  black dog and brown dog playing in tall weeds endseq
185,startseq  brown dog jumping in the air on brown plain endseq
186,startseq  child in gray clothes is sleeping on red cushion endseq
187,startseq  baby girl playing at park endseq
188,startseq  girl in helmet rides horse endseq
189,startseq  korean man sells soda endseq
190,startseq  the hatted males pose for picture endseq
191,startseq  person in blue shirt sits behind two people sitting on wood bench endseq
192,startseq  man in sunglasses on an overpass endseq
193,startseq  boy in wetsuit jumps into pool with bald man endseq
194,startseq  boy flips off diving board into pool endseq
195,startseq  lady holds little girl who is trying to catch bubbles endseq
196,startseq  brown dog biting gray dogs ear endseq
197,startseq  girls wearing sports uniforms and eye protection endseq
198,startseq  dog in number six jersey is running through field endseq
199,startseq  brown horse and black foal on the beach endseq
200,startseq  black and brown dog is laying on white shaggy carpet endseq
201,startseq  smiling girls in bathing suits sitting on the sand endseq
202,startseq  boy in grey and white shirt looking at his reflection endseq
203,startseq  child in all pink is posing nearby stroller with buildings in the distance endseq
204,startseq  man sits on rock endseq
205,startseq  the kids play in the wooded area near the water endseq
206,startseq  closeup of young girl with pink shirt laying on grass endseq
207,startseq  man on bicycle riding down rocky hill endseq
208,startseq  three children are playing in sand near to the beach endseq
209,startseq  little girl in colorful dress is playing with blue and red soccer ball endseq
210,startseq  cat under the bench hissing with dog growling and trying to get it endseq
211,startseq  an adult and child sitting on police motorcycle endseq
212,startseq  man in red biker suit on red dirt bike going down muddy road endseq
213,startseq  people walk by display of underwear hanging in stall endseq
214,startseq  person standing beside bike in stream endseq
215,startseq  girl in coral shirt with glasses is smiling while leaning against fence endseq
216,startseq  boy has his head down and is wearing shirt that says adhd endseq
217,startseq  boy playing in lake endseq
218,startseq  couple of people sit outdoors at table with an umbrella and talk endseq
